beta_3,beta_4,sigma_3,sigma_4,time
2.4748953338809335e-06,6.7921977901000166e-06,1.251212767418178e-06,1.251119476588916e-06,1860992.6422318392
-7.361880624122454e-06,-4.858470084884158e-07,1.228117766828399e-06,1.2281760746348495e-06,1863492.7183078695
3.329435234250669e-06,-1.662471118160262e-06,1.3958752965301213e-06,1.395969725586945e-06,1865992.69033972
-8.348836504959546e-06,-2.4383884723503956e-07,1.2828312219746635e-06,1.2828443284727002e-06,1868492.6613884787
-2.5612516596121766e-06,-1.1470219038510766e-06,1.2971561313163893e-06,1.2970680828723051e-06,1870992.7275456707
3.3145602692815954e-06,4.345205126992271e-06,1.4412890993692914e-06,1.4412384351376126e-06,1873492.7252920875
1.852785355662361e-06,-8.492074773696232e-06,1.7308409003009537e-06,1.7307190876636735e-06,1875992.709376381
1.3787762727965165e-06,1.4199304460500404e-06,1.402218334057213e-06,1.4022550559650784e-06,1878492.7372393452
-6.082329126533634e-07,-5.8100963035087215e-06,1.4771614935328032e-06,1.4772429829625393e-06,1880992.6623330833
4.033507763009878e-06,-8.142913763868224e-06,1.278118979012542e-06,1.2780277653941663e-06,1883492.7515231746
-7.2263875092437865e-06,-6.327339045342421e-06,1.314821690161298e-06,1.3147798358258426e-06,1885992.7457379247
6.2225314342092566e-06,-1.9629603942528586e-06,1.1468013147676326e-06,1.1468459274332618e-06,1888492.850523965
-6.637664270992525e-07,-8.85557803244848e-06,1.2524388842852812e-06,1.2524853041050623e-06,1890992.759916864
-8.197033508479707e-06,1.6526477486375903e-06,1.2750229571000492e-06,1.2750906653957058e-06,1893492.785073558
1.4789995069941595e-06,4.090357259187956e-06,1.3311252555652173e-06,1.331191972739244e-06,1895992.7341790828
-7.727021787443e-06,6.986837112133512e-07,1.2734111627856184e-06,1.2733944167221094e-06,1898492.8373338145
3.925119824901509e-06,4.583683600729249e-06,1.344093566322458e-06,1.344076490322257e-06,1900992.8060053922
9.442332307638863e-07,-8.877533258011577e-06,1.5196365863317487e-06,1.5196889526107764e-06,1903492.8257683178
-7.479446409277302e-06,-3.861080643948044e-06,1.4893571515069274e-06,1.4893094036269335e-06,1905992.7862932512
3.7137421318450612e-06,8.70105733337442e-06,1.1738504741522199e-06,1.1737711052445092e-06,1908492.864500689
